search_workers,warmup_job_count,elapsed_sec,cuda_oom,cpu_fallback,peak_cuda_memory_bytes,worker_log_count,warmup_jobs,worker_elapsed_sec,gpu_before,gpu_after
2,2,9.69645180000225,False,False,2707345408,2,"[[3, 0], [4, 0]]","[9.02592039999945, 9.063136000000668]","{""name"": ""NVIDIA GeForce RTX 4090"", ""memory_total_mb"": 24564, ""memory_used_mb"": 3424, ""utilization_gpu_pct"": 5}","{""name"": ""NVIDIA GeForce RTX 4090"", ""memory_total_mb"": 24564, ""memory_used_mb"": 5499, ""utilization_gpu_pct"": 84}"
4,2,10.562565100000938,False,False,2707345408,2,"[[3, 0], [4, 0]]","[9.935904499998287, 9.952795100001822]","{""name"": ""NVIDIA GeForce RTX 4090"", ""memory_total_mb"": 24564, ""memory_used_mb"": 5499, ""utilization_gpu_pct"": 84}","{""name"": ""NVIDIA GeForce RTX 4090"", ""memory_total_mb"": 24564, ""memory_used_mb"": 5495, ""utilization_gpu_pct"": 86}"
6,2,8.836602700001094,False,False,2706821120,2,"[[3, 0], [4, 0]]","[8.294860099998914, 8.201402799997595]","{""name"": ""NVIDIA GeForce RTX 4090"", ""memory_total_mb"": 24564, ""memory_used_mb"": 5495, ""utilization_gpu_pct"": 86}","{""name"": ""NVIDIA GeForce RTX 4090"", ""memory_total_mb"": 24564, ""memory_used_mb"": 5495, ""utilization_gpu_pct"": 92}"
8,2,9.574407399999473,False,False,2707345408,2,"[[3, 0], [4, 0]]","[8.957209399999556, 8.97827210000105]","{""name"": ""NVIDIA GeForce RTX 4090"", ""memory_total_mb"": 24564, ""memory_used_mb"": 5495, ""utilization_gpu_pct"": 92}","{""name"": ""NVIDIA GeForce RTX 4090"", ""memory_total_mb"": 24564, ""memory_used_mb"": 5453, ""utilization_gpu_pct"": 92}"
