method,seed,model,layer,heads,rank_ratio,rank,L,M,topk,final_report_split,selected_device,S3_test_nll,S3_test_ppl,S3_test_teacher_kl,joint_spec_path,eval_path,stochastic
dense,,distilgpt2,3,"3,4,5",1.0,64,,,,S3_test,cuda,4.596390247344971,99.12584924616756,,,results/multi_head_replication_distilgpt2_round2/evals/dense/eval.json,False
pca,,distilgpt2,3,"3,4,5",0.5,32,,,,S3_test,cuda,4.590007305145264,98.49514968069441,0.008264994248747826,results/multi_head_replication_distilgpt2_round2/joint_specs/pca/compression_spec.pt,results/multi_head_replication_distilgpt2_round2/evals/pca/eval.json,False
rpedr_single_best,0,distilgpt2,3,"3,4,5",0.5,32,256,32,2,S3_test,cuda,4.622008800506592,101.69811830828438,0.015264495275914669,results/multi_head_replication_distilgpt2_round2/joint_specs/rpedr_single_best_seed0/compression_spec.pt,results/multi_head_replication_distilgpt2_round2/evals/rpedr_single_best_seed0/eval.json,True
rpedr_single_best,1,distilgpt2,3,"3,4,5",0.5,32,256,32,2,S3_test,cuda,4.622008800506592,101.69811830828438,0.015264495275914669,results/multi_head_replication_distilgpt2_round2/joint_specs/rpedr_single_best_seed1/compression_spec.pt,results/multi_head_replication_distilgpt2_round2/evals/rpedr_single_best_seed1/eval.json,True
rpedr_single_best,2,distilgpt2,3,"3,4,5",0.5,32,256,32,2,S3_test,cuda,4.622008800506592,101.69811830828438,0.015264495275914669,results/multi_head_replication_distilgpt2_round2/joint_specs/rpedr_single_best_seed2/compression_spec.pt,results/multi_head_replication_distilgpt2_round2/evals/rpedr_single_best_seed2/eval.json,True
rpedr_full,0,distilgpt2,3,"3,4,5",0.5,32,256,32,2,S3_test,cuda,4.604475021362305,99.93050769451614,0.01268676109611988,results/multi_head_replication_distilgpt2_round2/joint_specs/rpedr_full_seed0/compression_spec.pt,results/multi_head_replication_distilgpt2_round2/evals/rpedr_full_seed0/eval.json,True
rpedr_full,1,distilgpt2,3,"3,4,5",0.5,32,256,32,2,S3_test,cuda,4.602402210235596,99.72358515602701,0.013410840183496475,results/multi_head_replication_distilgpt2_round2/joint_specs/rpedr_full_seed1/compression_spec.pt,results/multi_head_replication_distilgpt2_round2/evals/rpedr_full_seed1/eval.json,True
rpedr_full,2,distilgpt2,3,"3,4,5",0.5,32,256,32,2,S3_test,cuda,4.6009321212768555,99.57709032116603,0.012915223836898804,results/multi_head_replication_distilgpt2_round2/joint_specs/rpedr_full_seed2/compression_spec.pt,results/multi_head_replication_distilgpt2_round2/evals/rpedr_full_seed2/eval.json,True
