subset_name,method,metric,count,mean,std,min,max
inject_4_into_round1_core,rpedr_single_best,S3_test_nll,3,4.626702626546224,0.00016274303105006548,4.626472473144531,4.62681770324707
inject_4_into_round1_core,rpedr_single_best,S3_test_ppl,3,102.1765949987366,0.016627571884269943,102.15308006106854,102.18835246757064
inject_4_into_round1_core,rpedr_single_best,S3_test_teacher_kl,3,0.012909147888422012,3.865656261858562e-06,0.01290368102490902,0.012911881320178509
inject_4_into_round1_core,rpedr_full,S3_test_nll,3,4.602425257364909,0.0008789215109101416,4.601471424102783,4.603592395782471
inject_4_into_round1_core,rpedr_full,S3_test_ppl,3,99.72592204809878,0.08766471609957595,99.63080701085322,99.8423453850973
inject_4_into_round1_core,rpedr_full,S3_test_teacher_kl,3,0.012291983390847841,0.00027044191438960424,0.011972293257713318,0.012633644044399261
keep_4_swap_out_5_for_2,rpedr_single_best,S3_test_nll,3,4.614050388336182,0.0,4.614050388336182,4.614050388336182
keep_4_swap_out_5_for_2,rpedr_single_best,S3_test_ppl,3,100.89197483170204,0.0,100.89197483170204,100.89197483170204
keep_4_swap_out_5_for_2,rpedr_single_best,S3_test_teacher_kl,3,0.010995686054229736,0.0,0.010995686054229736,0.010995686054229736
keep_4_swap_out_5_for_2,rpedr_full,S3_test_nll,3,4.606931050618489,0.0013062318010402495,4.60508918762207,4.607974529266357
keep_4_swap_out_5_for_2,rpedr_full,S3_test_ppl,3,100.17632702311937,0.13079460970503895,99.99190049142581,100.28082791271744
keep_4_swap_out_5_for_2,rpedr_full,S3_test_teacher_kl,3,0.008703145819405714,0.0001401714832347984,0.008573988452553749,0.00889795832335949
swap_out_4_for_2,rpedr_single_best,S3_test_nll,3,4.60347843170166,0.0,4.60347843170166,4.60347843170166
swap_out_4_for_2,rpedr_single_best,S3_test_ppl,3,99.83096759232168,0.0,99.83096759232168,99.83096759232168
swap_out_4_for_2,rpedr_single_best,S3_test_teacher_kl,3,0.012392351403832436,0.0,0.012392351403832436,0.012392351403832436
swap_out_4_for_2,rpedr_full,S3_test_nll,3,4.595653057098389,0.0008753385662197116,4.594474792480469,4.59657096862793
swap_out_4_for_2,rpedr_full,S3_test_ppl,3,99.05283950860148,0.0866888247145499,98.93615988473316,99.14376501564938
swap_out_4_for_2,rpedr_full,S3_test_teacher_kl,3,0.010433776614566645,0.00024256157517454498,0.01022837869822979,0.010774410329759121
